Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
2022-01-11,Jordan,2022-01-12 04:21:44,31.24,36.51,1085500,12909,,,Jordan,10638.881756008444,1.1892215568862274
2022-01-12,Jordan,2022-01-13 08:00:09,31.24,36.51,1088329,12932,,,Jordan,10666.60851463373,1.1882436285351212
2022-01-13,Jordan,2022-01-14 04:21:54,31.24,36.51,1091691,12945,,,Jordan,10699.559155318853,1.185775095700157
2022-01-14,Jordan,2022-01-15 04:21:07,31.24,36.51,1095087,12959,,,Jordan,10732.843026754508,1.1833762979562354
2022-01-15,Jordan,2022-01-16 04:21:12,31.24,36.51,1097474,12974,,,Jordan,10756.237785622858,1.182169235899894
2022-01-16,Jordan,2022-01-17 04:21:08,31.24,36.51,1100967,12986,,,Jordan,10790.472344787977,1.1795085592937844
2022-01-17,Jordan,2022-01-18 04:21:04,31.24,36.51,1106006,13004,,,Jordan,10839.85910219795,1.175762156805659
2022-01-18,Jordan,2022-01-19 04:21:23,31.24,36.51,1111181,13014,,,Jordan,10890.57878261006,1.1711863323796934
2022-01-19,Jordan,2022-01-20 04:21:07,31.24,36.51,1117397,13028,,,Jordan,10951.501204531154,1.1659240180526709
2022-01-20,Jordan,2022-01-21 04:21:09,31.24,36.51,1123686,13043,,,Jordan,11013.139092475454,1.1607335145227404
2022-01-21,Jordan,2022-01-22 04:21:13,31.24,36.51,1129995,13049,,,Jordan,11074.972998508303,1.1547838707250917
2022-01-22,Jordan,2022-01-23 04:21:13,31.24,36.51,1134097,13062,,,Jordan,11115.176308469743,1.1517533332686711
2022-01-23,Jordan,2022-01-24 04:21:12,31.24,36.51,1141048,13073,,,Jordan,11183.302395145025,1.1457011449123964
2022-01-24,Jordan,2022-01-25 04:21:05,31.24,36.51,1152526,13088,,,Jordan,11295.797176163416,1.1355926026831498
2022-01-25,Jordan,2022-01-26 04:21:07,31.24,36.51,1164339,13102,,,Jordan,11411.575260165007,1.1252736531199248
2022-01-26,Jordan,2022-01-27 04:21:19,31.24,36.51,1177165,13124,,,Jordan,11537.281660351617,1.1148819409343635
2022-01-27,Jordan,2022-01-28 04:21:09,31.24,36.51,1184856,13142,,,Jordan,11612.660416303215,1.1091643203899884
